Date,County,Geography_Type,Strata,Strata_Name,Cause,Cause_Desc,ICD_Revision,Count,Annotation_Code,Annotation_Desc,Data_Revision_Date,State,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
1999,Madera,Residence,Total Population,Total Population,PNF,Influenza and pneumonia,0,20.0,0.0,0,0,California,362.0,232.0,86.0,34.0,10.0,0.0,0.0,174.0,105.0,44.0,0.0,68.0,294.0,0.0,0.0
1999,Los Angeles,Residence,Total Population,Total Population,PNF,Influenza and pneumonia,0,2242.0,0.0,0,0,California,365.0,18.0,179.0,140.0,27.0,1.0,0.0,203.0,140.0,97.0,14.0,169.0,87.0,91.0,4.0
1999,Marin,Residence,Total Population,Total Population,PNF,Influenza and pneumonia,0,76.0,0.0,0,0,California,365.0,337.0,27.0,1.0,0.0,0.0,0.0,133.0,47.0,32.0,2.0,180.0,145.0,35.0,3.0
1999,Kings,Residence,Total Population,Total Population,PNF,Influenza and pneumonia,0,11.0,0.0,0,0,California,362.0,152.0,105.0,76.0,28.0,1.0,0.0,206.0,147.0,64.0,0.0,47.0,262.0,33.0,20.0
1999,Kern,Residence,Total Population,Total Population,PNF,Influenza and pneumonia,0,143.0,0.0,0,0,California,365.0,62.0,107.0,72.0,111.0,13.0,0.0,207.0,179.0,108.0,0.0,40.0,240.0,81.0,4.0
1999,Lake,Residence,Total Population,Total Population,PNF,Influenza and pneumonia,0,12.0,0.0,0,0,California,364.0,320.0,41.0,3.0,0.0,0.0,0.0,105.0,54.0,32.0,0.0,0.0,359.0,4.0,1.0
1999,Monterey,Residence,Total Population,Total Population,PNF,Influenza and pneumonia,0,70.0,0.0,0,0,California,365.0,314.0,50.0,1.0,0.0,0.0,0.0,105.0,58.0,38.0,0.0,24.0,285.0,46.0,10.0
1999,Nevada,Residence,Total Population,Total Population,PNF,Influenza and pneumonia,0,18.0,0.0,0,0,California,365.0,131.0,138.0,68.0,28.0,0.0,0.0,195.0,143.0,67.0,0.0,0.0,339.0,11.0,15.0
1999,Napa,Residence,Total Population,Total Population,PNF,Influenza and pneumonia,0,58.0,0.0,0,0,California,365.0,340.0,19.0,5.0,1.0,0.0,0.0,161.0,45.0,32.0,17.0,111.0,233.0,0.0,4.0
1999,Mendocino,Residence,Total Population,Total Population,PNF,Influenza and pneumonia,0,18.0,0.0,0,0,California,365.0,335.0,29.0,1.0,0.0,0.0,0.0,101.0,48.0,33.0,22.0,48.0,268.0,22.0,5.0
1999,Merced,Residence,Total Population,Total Population,PNF,Influenza and pneumonia,0,35.0,0.0,0,0,California,365.0,155.0,89.0,73.0,45.0,3.0,0.0,213.0,159.0,71.0,0.0,47.0,291.0,24.0,3.0
1999,Butte,Residence,Total Population,Total Population,PNF,Influenza and pneumonia,0,78.0,0.0,0,0,California,365.0,237.0,98.0,23.0,7.0,0.0,0.0,187.0,97.0,44.0,7.0,84.0,223.0,29.0,22.0
1999,Contra Costa,Residence,Total Population,Total Population,PNF,Influenza and pneumonia,0,168.0,0.0,0,0,California,365.0,265.0,75.0,17.0,6.0,2.0,0.0,218.0,84.0,41.0,0.0,84.0,213.0,62.0,6.0
1999,Alameda,Residence,Total Population,Total Population,PNF,Influenza and pneumonia,0,330.0,0.0,0,0,California,365.0,258.0,81.0,19.0,5.0,2.0,0.0,212.0,87.0,41.0,4.0,142.0,166.0,52.0,1.0
1999,Amador,Residence,Total Population,Total Population,PNF,Influenza and pneumonia,0,14.0,0.0,0,0,California,365.0,212.0,89.0,53.0,10.0,1.0,0.0,202.0,122.0,45.0,6.0,0.0,359.0,0.0,0.0
1999,Humboldt,Residence,Total Population,Total Population,PNF,Influenza and pneumonia,0,42.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,El Dorado,Residence,Total Population,Total Population,PNF,Influenza and pneumonia,0,40.0,0.0,0,0,California,365.0,151.0,124.0,51.0,35.0,4.0,0.0,214.0,151.0,58.0,0.0,26.0,332.0,7.0,0.0
1999,Fresno,Residence,Total Population,Total Population,PNF,Influenza and pneumonia,0,143.0,0.0,0,0,California,365.0,59.0,106.0,88.0,106.0,6.0,0.0,219.0,182.0,108.0,7.0,38.0,231.0,89.0,0.0
1999,Sonoma,Residence,Total Population,Total Population,PNF,Influenza and pneumonia,0,115.0,0.0,0,0,California,365.0,306.0,47.0,10.0,2.0,0.0,0.0,154.0,61.0,38.0,1.0,65.0,257.0,40.0,2.0
1999,Solano,Residence,Total Population,Total Population,PNF,Influenza and pneumonia,0,80.0,0.0,0,0,California,365.0,271.0,63.0,25.0,5.0,1.0,0.0,201.0,90.0,40.0,16.0,72.0,239.0,36.0,2.0
1999,Stanislaus,Residence,Total Population,Total Population,PNF,Influenza and pneumonia,0,134.0,0.0,0,0,California,365.0,195.0,116.0,30.0,24.0,0.0,0.0,197.0,126.0,49.0,7.0,82.0,201.0,61.0,14.0
1999,Shasta,Residence,Total Population,Total Population,PNF,Influenza and pneumonia,0,53.0,0.0,0,0,California,364.0,195.0,105.0,51.0,13.0,0.0,0.0,182.0,126.0,50.0,0.0,0.0,345.0,19.0,0.0
1999,Santa Cruz,Residence,Total Population,Total Population,PNF,Influenza and pneumonia,0,46.0,0.0,0,0,California,365.0,318.0,44.0,3.0,0.0,0.0,0.0,105.0,54.0,36.0,0.0,8.0,303.0,45.0,9.0
1999,Siskiyou,Residence,Total Population,Total Population,PNF,Influenza and pneumonia,0,24.0,0.0,0,0,California,362.0,337.0,25.0,0.0,0.0,0.0,0.0,90.0,47.0,33.0,0.0,0.0,350.0,0.0,12.0
1999,Ventura,Residence,Total Population,Total Population,PNF,Influenza and pneumonia,0,139.0,0.0,0,0,California,365.0,129.0,153.0,62.0,19.0,2.0,0.0,207.0,133.0,61.0,0.0,53.0,278.0,33.0,1.0
